rank,lemma,pos,avg_rank,sources_count,rank_itwac,rank_opensubs,rank_wordfreq,count_itwac,count_opensubs,freq_wordfreq,gender,auxiliary,adj_class,nvdb_tier,notes,rank_lip,count_lip,rank_news,count_news,rank_literature,count_literature,rank_wikipedia,count_wikipedia
1439,lavoratore,noun,1591.0,3,213,3584,976,464229,3862,9.89e-05,m,,,FO,,365,18005,291,1079,6440,67,2313,22588
1440,sport,noun,1591.0,3,1256,2439,1078,112596,6334,8.91e-05,m,,,FO,,1679,3064,5582,21,19645,12,1192,47440
1441,centrare,verb,1591.67,3,3740,727,308,26410,27938,0.000297081,na,avere,,AU,,1100,5504,762,417,1586,363,192,228358
1442,rischio,noun,1592.67,3,336,2351,2091,364075,6593,4.17e-05,m,,,FO,,895,7043,318,1023,7015,59,5862,6855
1443,orario,noun,1593.67,3,1102,1979,1700,129639,8123,5.3780000000000003e-05,m,,,FO,,2317,1902,4997,27,,,3681,12718
1444,consegnare,verb,1594.0,3,1479,1292,2011,93185,13946,4.3711e-05,na,avere,,FO,,3192,1096,5097,26,2116,272,1906,28618
1445,proprietario,noun,1594.33,3,1790,1617,1376,74033,10563,6.840000000000001e-05,m,,,FO,,3445,957,2108,116,3064,177,1458,38424
1446,corrente,noun,1595.67,3,1953,1615,1219,66513,0,0,m,,,FO,,2129,0,708,0,2384,0,1366,0
1447,corrente,noun,1595.67,3,1953,1615,1219,66513,0,0,f,,,FO,,2129,0,708,0,2384,0,1366,0
1448,identificare,verb,1596.67,3,1449,1647,1694,96011,10347,5.395199999999999e-05,na,avere,,FO,,2075,2241,1643,164,10720,32,1207,46740
1449,indossare,verb,1599.0,3,2675,676,1446,43031,30575,6.5451e-05,na,avere,,FO,,6919,269,6641,16,3454,152,1633,34244
1450,russo,adjective,1599.67,3,2763,1172,864,40907,15798,0.00011097,na,,o,FO,,1193,4987,1052,292,3150,172,539,101666
1451,straniero,adjective,1601.0,3,897,2690,1216,157390,5622,7.82e-05,na,,o,FO,,2449,1723,848,368,625,933,2060,25889
1452,suggerire,verb,1601.33,3,1630,1498,1676,83033,11681,5.4814999999999996e-05,na,avere,,FO,,1425,3830,593,543,2975,183,1644,33920
1453,fondamentale,adjective,1603.67,3,460,3399,952,279570,4165,0.0001003,na,,e,FO,,171,36555,285,1100,2826,194,1332,42259
1454,incontro,noun,1604.0,3,329,2543,1940,367229,6069,4.57e-05,m,,,FO,,2670,1491,2955,67,9538,37,1507,37257
1455,trasmettere,verb,1604.67,3,766,2692,1356,181435,5618,6.975e-05,na,avere,,FO,,1182,5036,2303,103,3065,177,677,83986
1456,amica,noun,1605.33,3,3326,465,1025,31385,46661,9.37e-05,f,,,,,8653,174,12094,5,2148,267,2070,25733
1457,rubare,verb,1605.33,3,2926,478,1412,38050,44896,6.690799999999999e-05,na,avere,,FO,,7840,210,3908,42,3017,181,2401,21550
1458,villaggio,noun,1605.33,3,1934,1468,1414,67560,11899,6.68e-05,m,,,FO,,4300,644,2633,83,1145,515,712,80134
1459,tranne,preposition,1605.5,2,,1265,1946,,14279,4.57e-05,na,,,FO,,4574,578,3128,60,3327,159,2731,18295
1460,attimo,noun,1605.67,3,2388,422,2007,50417,53692,4.3889999999999995e-05,m,,,FO,,5234,451,8248,10,5092,92,10194,3086
1461,singolo,noun,1606.67,3,2200,1954,666,55935,0,0,m,,,FO,,659,0,845,0,1893,0,245,0
1462,pensione,noun,1608.67,3,1161,2025,1640,122248,7891,5.660000000000001e-05,f,,,FO,,1565,3392,1343,204,5211,89,4469,9955
1463,morale,adjective,1609.33,3,1370,2055,1403,101634,7785,6.74e-05,na,,e,FO,,1966,2434,1349,203,909,651,2237,23677
1464,verificare,verb,1609.67,3,513,2745,1571,256937,5503,5.8902e-05,na,avere,,FO,,736,9171,985,316,4916,97,1930,28153
1465,prevedere,verb,1610.0,3,205,3422,1203,471123,4118,7.916000000000002e-05,na,avere,,FO,,387,17136,496,655,2644,210,945,60486
1466,x,adjective,1611.0,3,971,3264,598,143757,4379,0.000162,na,,invariable,,,9275,152,5596,21,1085,537,553,100153
1467,giugno,noun,1611.67,3,259,4092,484,421538,3187,0.000195,m,,,FO,,993,6225,1606,169,884,667,191,229487
1468,agenzia,noun,1612.33,3,1460,1848,1529,94868,8851,6.11e-05,f,,,FO,,869,7296,922,340,,,2187,24210
1469,pietra,noun,1613.0,3,1817,1532,1490,72752,11316,6.31e-05,f,,,FO,,3227,1074,4976,27,1042,568,875,65143
1470,aprile,noun,1613.33,3,335,4022,483,364265,3271,0.000195,m,,,FO,,1641,3177,2256,105,951,626,233,208960
1471,autorità,noun,1619.33,3,670,3049,1139,204158,4837,8.32e-05,f,,,FO,,295,21989,434,758,688,858,1031,55119
1472,uno,noun,1620.67,3,4852,5,5,17953,0,0,m,,,FO,,7,0,5,0,7,0,5,0
1473,contento,adjective,1621.67,3,2854,603,1408,39278,34620,6.712e-05,na,,o,FO,,4071,713,5436,23,876,677,9522,3411
1474,scrittore,noun,1625.0,3,1624,2187,1064,83272,7131,8.98e-05,m,,,FO,,6915,269,5289,24,600,967,959,59793
1475,tardo,adjective,1626.67,3,3670,362,848,27125,0,0,na,,o,FO,,1693,0,2293,0,494,0,659,0
1476,esterno,noun,1628.0,3,2117,1735,1032,59522,0,0,m,,,FO,,625,0,610,0,1430,0,582,0
1477,massa,noun,1632.33,3,1180,2691,1026,120572,5619,9.36e-05,f,,,FO,,1765,2876,1388,197,1782,323,981,57929
1478,passione,noun,1633.67,3,1334,2166,1401,104986,7226,6.75e-05,f,,,FO,,5431,423,5665,21,861,691,2150,24729
1479,km,noun,1634.67,3,1548,2265,1091,88554,6850,8.71e-05,m,,,,,4959,498,10413,6,13620,22,409,130460
1480,centrale,noun,1635.33,3,2918,1374,614,38153,0,0,m,,,FO,,468,0,146,0,2467,0,348,0
1481,centrale,noun,1635.33,3,2918,1374,614,38153,0,0,f,,,FO,,468,0,146,0,2467,0,348,0
1482,ridurre,verb,1636.33,3,509,3101,1299,258755,4710,7.2648e-05,na,avere,,FO,,466,14687,178,1696,1479,387,1552,36156
1483,quarto,numeral,1636.5,2,,1796,1477,,9249,6.347e-05,na,,,FO,,1632,3205,976,319,1045,566,538,101830
1484,firma,noun,1637.0,3,1134,2086,1691,125568,7601,5.42e-05,f,,,FO,,1868,2630,4884,28,2699,204,1661,33387
1485,serio,noun,1638.0,3,4439,283,192,20456,0,0,m,,,FO,,346,0,296,0,707,0,62,0
1486,sorridere,verb,1638.67,3,2366,972,1578,50853,19842,5.8825e-05,na,avere,,FO,,9331,151,8375,10,662,890,9078,3642
1487,quarto,adjective,1640.0,3,1647,1796,1477,82009,0,0,na,,o,FO,,1632,0,976,0,1045,0,538,0
1488,online,adjective,1642.0,3,1730,2599,597,77434,5912,0.000162,na,,e,AU,,4725,548,1262,222,12348,25,3057,15948
1489,pesare,verb,1643.0,3,2835,1165,929,39655,15863,0.00010278700000000003,na,avere,,AU,,1656,3120,793,397,860,691,1133,49656
1490,ritirare,verb,1643.67,3,1736,1567,1628,77014,10931,5.7387000000000005e-05,na,avere,,FO,,1436,3784,1824,140,1665,346,713,80093
1491,difficoltà,noun,1646.33,3,631,3376,932,214795,4200,0.000102,f,,,FO,,561,12337,488,672,1218,481,1171,48345
1492,complesso,noun,1647.67,3,1394,2659,890,99916,0,0,m,,,AU,,727,0,675,0,2788,0,640,0
1493,supportare,verb,1647.67,3,2039,1984,920,62573,8092,0.00010435800000000002,na,avere,,AU,,2731,1424,682,476,,,900,62764
1494,cellulare,noun,1648.67,3,2869,866,1211,39005,22436,7.86e-05,m,,,FO,,5378,431,2690,80,32904,5,3389,14034
1495,cazzo,noun,1649.0,3,4556,160,231,19782,192889,0.0003965,m,,,FO,,,,,,,,,232
1496,piazza,noun,1649.0,3,857,3502,588,164472,4006,0.0001633,f,,,FO,,4909,508,3872,42,977,607,700,81293
1497,esercire,verb,1652.33,3,2728,926,1303,41736,20535,7.240999999999999e-05,na,avere,,,,2498,1667,1860,136,424,1335,371,139944
1498,informare,verb,1653.67,3,1087,2018,1856,131054,7924,4.858e-05,na,avere,,FO,,1184,5031,3180,59,2825,194,2645,19018
1499,ottobre,noun,1655.0,3,357,4109,499,344096,3181,0.000191,m,,,FO,,1354,4073,2202,108,1294,450,201,223947
1500,comunità,noun,1655.33,3,519,3643,804,253367,3780,0.00012,f,,,FO,,287,22535,349,952,4710,102,532,102656
1501,reato,noun,1657.67,3,1105,2544,1324,129294,6062,7.14e-05,m,,,FO,,1451,3729,6000,19,7487,54,3778,12352
1502,gratis,adverb,1659.0,2,,1745,1573,,9618,5.89e-05,na,,,AU,,18021,35,8256,10,12153,26,21440,965
1503,vistare,verb,1659.67,3,1420,1391,2168,97913,12700,3.98e-05,na,avere,,,,1537,3481,2800,74,4708,102,5120,8280
1504,falso,noun,1661.67,3,2911,1047,1027,38285,0,0,m,,,FO,,2606,0,1762,0,1133,0,2218,0
1505,frequentare,verb,1662.0,3,1517,1621,1848,90425,10539,4.8800999999999996e-05,na,avere,,FO,,6524,302,3150,60,4704,103,982,57747
1506,istituto,noun,1663.0,3,539,3186,1264,244076,4520,7.56e-05,m,,,FO,,1901,2569,1046,293,3828,134,789,72864
1507,new,adjective,1664.67,3,3742,558,694,26405,37800,0.000141,na,,invariable,,,3167,1109,407,814,,,340,151631
1508,gas,noun,1665.0,3,1448,1844,1703,96078,8863,5.37e-05,m,,,FO,,1021,6015,729,438,14037,21,1970,27368
1509,minaccia,noun,1665.0,3,2056,1302,1637,62036,13820,5.6699999999999996e-05,f,,,AU,,903,6987,414,799,1426,405,1942,27929
1510,facilmente,adverb,1665.0,2,,1964,1366,,8203,6.92e-05,na,,,FO,,2356,1848,1110,268,1103,528,2129,24979
1511,dito,noun,1666.33,3,2442,945,1612,48868,20126,5.76e-05,m,,,FO,,5043,482,4738,30,1073,547,3864,11987
1512,determinare,verb,1667.67,3,444,3386,1173,288932,4194,8.094600000000001e-05,na,avere,,FO,,818,7921,703,459,1229,477,1101,51037
1513,tecnico,noun,1667.67,3,1234,2729,1040,114896,0,0,m,,,FO,,1161,0,2458,0,11939,0,911,0
1514,capitale,noun,1668.0,3,745,3447,812,186132,4076,0.00011850000000000001,m,,,FO,,808,8073,126,2123,827,714,705,80818
1515,capitale,noun,1668.0,3,745,3447,812,186132,0,0,f,,,FO,,808,0,126,0,827,0,705,0
1516,piatto,noun,1673.67,3,2129,1353,1539,58912,13071,6.0400000000000004e-05,m,,,FO,,7644,221,6156,18,1352,431,2642,19032
1517,donare,verb,1676.0,3,2436,1308,1284,48954,13661,7.41e-05,na,avere,,AU,,5993,353,4918,28,1003,587,1236,45608
1518,femminile,adjective,1679.0,3,1313,2621,1103,106984,5826,8.609999999999999e-05,na,,e,FO,,2402,1793,2705,79,3712,139,523,103996
1519,generazione,noun,1680.0,3,1257,2555,1228,112401,6043,7.76e-05,f,,,FO,,1424,3833,783,406,1906,302,1582,35521
1520,europeo,adjective,1680.33,3,87,4600,354,696487,2715,0.0002573,na,,o,FO,,16,363938,65,3905,1747,328,265,186137
1521,reazione,noun,1680.33,3,1656,2083,1302,81616,7616,7.25e-05,f,,,FO,,1497,3574,1358,202,2714,203,1429,38994
1522,appartamento,noun,1688.67,3,2462,821,1783,48130,24274,5.09e-05,m,,,FO,,13338,69,8040,11,4219,118,2698,18592
1523,espressione,noun,1688.67,3,894,2935,1237,157689,5083,7.719999999999999e-05,f,,,FO,,1307,4328,2263,105,1905,302,1635,34206
1524,roba,noun,1688.67,3,3548,399,1119,28590,58228,8.502000000000001e-05,f,,,FO,,23091,19,17678,2,1644,351,19620,1119
1525,stamattina,adverb,1689.0,2,,917,2461,,20623,3.39e-05,na,,,AU,,3822,795,,,11238,29,,
1526,investire,verb,1689.67,3,1412,1973,1684,98572,8165,5.4494e-05,na,avere,,FO,,1132,5318,436,758,4113,122,2990,16316
1527,disegnare,verb,1690.0,3,2288,1654,1128,53353,10307,8.4423e-05,na,avere,,FO,,5338,437,4123,38,796,743,1022,55500
1528,cristiano,adjective,1692.33,3,1114,3015,948,127955,4921,0.00010091,na,,o,FO,,1533,3493,4072,39,268,2158,832,69194
1529,centinaio,noun,1693.33,3,1601,1726,1753,84971,9751,5.18e-05,m,,,FO,,1835,2687,1332,207,3010,181,2337,22290
1530,revisione,noun,1693.33,3,1727,551,2802,77467,38578,2.894e-05,f,,,AU,,697,9638,1699,157,10535,32,3904,11858
1531,dubbio,adjective,1694.33,3,3468,947,668,29476,0,0,na,,o,AU,,589,0,602,0,375,0,2260,0
1532,trattamento,noun,1694.33,3,494,3006,1583,262620,4935,5.8769999999999995e-05,m,,,FO,,885,7125,1142,258,4543,107,1714,32119
1533,esercizio,noun,1696.0,3,377,3039,1672,329069,4860,5.5e-05,m,,,FO,,1675,3079,3302,55,2496,225,2084,25524
1534,tuo,adjective,1696.67,3,4971,38,81,17140,0,0,na,,o,FO,,6830,0,4147,0,201,0,4161,0
1535,conferenza,noun,1697.33,3,1232,2269,1591,115018,6844,5.85e-05,f,,,AU,,495,13935,1081,277,8215,47,1823,29968
1536,epoca,noun,1699.67,3,1044,2135,1920,135675,7365,4.638e-05,f,,,FO,,2838,1328,1374,199,2513,223,318,161386
1537,operare,verb,1700.0,3,498,2921,1681,261326,5115,5.4516e-05,na,avere,,FO,,768,8642,1208,241,1442,398,1248,45354
1538,regione,noun,1701.33,3,277,4467,360,405301,2808,0.0002552,f,,,FO,,174,35657,350,950,1323,443,195,226823
1539,individuare,verb,1703.67,3,456,3044,1611,282154,4852,5.7730000000000005e-05,na,avere,,FO,,983,6289,1010,307,4186,119,1305,43318
1540,religioso,adjective,1705.0,3,810,3414,891,171986,4132,0.0001081,na,,o,FO,,1496,3575,1788,144,875,679,621,90201
1541,seguente,adjective,1707.33,3,125,4312,685,591937,2962,0.0001422,na,,e,FO,,1005,6112,2789,75,619,941,292,172062
1542,coscienza,noun,1708.67,3,1097,2315,1714,129972,6699,5.349e-05,f,,,FO,,2044,2294,5267,24,914,644,3627,12972
1543,moto,noun,1711.67,3,1581,1856,1698,86647,8818,5.3899999999999996e-05,m,,,FO,,5048,481,4874,28,1274,458,1832,29909
1544,moto,noun,1711.67,3,1581,1856,1698,86647,0,0,f,,,AU,,5048,0,4874,0,1274,0,1832,0
1545,sfida,noun,1712.67,3,1390,2279,1469,100180,6798,6.45e-05,f,,,FO,,533,12841,256,1197,5010,94,1860,29451
1546,formazione,noun,1717.67,3,147,4318,688,537559,2954,0.0001418,f,,,FO,,632,10936,892,349,2088,276,411,130045
1547,cittadino,adjective,1718.0,3,2800,1839,515,40366,0,0,na,,o,FO,,88,0,311,0,456,0,915,0
1548,amministrazione,noun,1719.0,3,238,3774,1145,441347,3586,8.31e-05,f,,,FO,,1221,4801,514,637,1966,293,914,62218
1549,presa,noun,1719.0,3,1641,2029,1487,82148,7870,6.31e-05,f,,,FO,,1429,3806,1930,128,541,1050,692,82404
1550,livello,noun,1720.33,3,78,3536,1547,734019,3943,6.03e-05,m,,,FO,,875,7213,345,960,,,1663,33188
1551,leader,noun,1722.0,3,1303,2335,1528,107992,6659,6.1191e-05,m,,,AU,,1445,3754,159,1792,,,1425,39075
1552,leader,noun,1722.0,3,1303,2335,1528,107992,0,0,f,,,AU,,1445,0,159,0,,0,1425,0
1553,riferimento,noun,1723.67,3,169,4201,801,511281,3090,0.0001202,m,,,FO,,485,14093,1045,293,14088,21,751,76472
1554,giardino,noun,1724.0,3,2003,1560,1609,64107,10984,5.7799999999999995e-05,m,,,FO,,9354,150,32178,1,1090,534,1434,38892
1555,popolazione,noun,1724.0,3,561,3958,653,234485,3359,0.0001494,f,,,FO,,388,17086,294,1074,732,810,287,173277
1556,controllo,noun,1725.33,3,197,2575,2404,482186,5977,3.47e-05,m,,,FO,,878,7189,1116,266,,2,6603,5788
1557,avvertire,verb,1726.0,3,1511,1409,2258,90854,12478,3.7819e-05,na,avere,,FO,,3291,1037,2561,87,948,628,3497,13545
1558,assistere,verb,1728.0,3,995,2294,1895,140847,6751,4.7199999999999995e-05,na,avere,,FO,,976,6318,1729,153,2215,258,1875,29308
1559,intelligente,adjective,1728.0,3,2405,896,1883,49848,21496,4.75e-05,na,,e,FO,,2332,1884,1773,146,4451,110,5412,7644
1560,proseguire,verb,1728.0,3,907,2677,1600,155363,5669,5.8254e-05,na,avere,,FO,,1082,5578,2529,89,1557,370,1023,55422
1561,don,noun,1728.33,3,2098,1352,1735,60376,13077,5.25e-05,m,,,FO,,14901,54,9577,7,571,1007,1079,52136
1562,spiaggia,noun,1731.67,3,2064,1566,1565,61750,10934,5.9461e-05,f,,,FO,,7369,239,8886,9,2504,224,2929,16766
1563,sostanza,noun,1734.0,3,768,2929,1505,181286,5098,6.220000000000001e-05,f,,,FO,,735,9179,2284,104,1491,385,1932,28115
1564,poesia,noun,1734.33,3,1350,2352,1501,102959,6583,6.27e-05,f,,,FO,,13175,71,12096,5,889,662,1360,41300
1565,terribile,adjective,1734.33,3,2402,724,2077,49941,28121,4.21e-05,na,,e,FO,,2051,2281,2974,67,1129,520,4299,10524
1566,specialmente,adverb,1736.0,2,,2008,1464,,7971,6.46e-05,na,,,AU,,1666,3104,1931,128,1002,588,2170,24464
1567,professionista,noun,1739.67,3,1550,1941,1728,88306,8307,5.2955000000000004e-05,m,,,AU,,3239,1067,1933,128,12346,25,1529,36576
1568,professionista,noun,1739.67,3,1550,1941,1728,88306,0,0,f,,,AU,,3239,0,1933,0,12346,0,1529,0
1569,profondo,adjective,1741.0,3,891,2450,1882,158650,6302,4.756e-05,na,,o,FO,,1471,3649,629,514,1506,380,1987,26966
1570,nascita,noun,1741.33,3,1272,2414,1538,111076,6399,6.0469999999999995e-05,f,,,FO,,3131,1132,2207,108,3247,165,1014,56107
1571,club,noun,1744.0,3,3036,979,1217,36269,19708,7.8101e-05,m,,,AU,,5041,482,4533,32,12485,25,234,208916
1572,solamente,adverb,1744.0,2,,2000,1488,,8017,6.31e-05,na,,,FO,,1750,2916,2764,76,579,997,1590,35369
1573,solamente,conjunction,1744.0,2,,2000,1488,,0,0,na,,,FO,,1750,0,2764,0,579,0,1590,0
1574,provenire,verb,1746.67,3,786,2219,2235,177093,7017,3.8189e-05,na,essere,,FO,,1716,2987,2046,120,4947,96,1873,29324
1575,bomba,noun,1747.67,3,2481,910,1852,47546,20891,4.87e-05,f,,,AU,,3746,823,3741,45,6796,62,2529,20301
1576,egli,pronoun,1748.5,2,,2407,1090,,6416,8.71e-05,na,,,FO,,1153,5195,1524,178,59,8690,379,137187
1577,negare,verb,1748.67,3,1554,1970,1722,87861,8182,5.313099999999999e-05,na,avere,,FO,,1712,2991,1937,128,1043,568,3306,14440
1578,divenire,verb,1749.0,3,892,3131,1224,158503,4638,7.761600000000001e-05,na,essere,,FO,,1474,3644,1669,161,471,1190,145,275843
1579,straniero,noun,1749.33,3,1342,2690,1216,103889,0,0,m,,,FO,,2449,0,848,0,625,0,2060,0
1580,filo,noun,1749.67,3,1700,1809,1740,78924,9171,5.2289999999999996e-05,m,,,FO,,5084,475,5184,25,1671,344,2651,18973
1581,scelta,noun,1752.0,3,248,3022,1986,432070,4900,4.47e-05,f,,,FO,,2035,2307,1227,231,14377,20,3928,11773
1582,accogliere,verb,1754.0,3,876,2977,1409,161452,5002,6.711299999999999e-05,na,avere,,FO,,339,19715,1834,139,1189,495,1326,42550
1583,soggetto,adjective,1757.33,3,2008,2309,955,63728,0,0,na,,o,AU,,1253,0,1098,0,1165,0,937,0
1584,pagamento,noun,1760.67,3,709,3225,1348,192814,4446,7.04e-05,m,,,FO,,919,6844,818,381,3821,134,2778,17817
1585,tipico,adjective,1760.67,3,1191,2759,1332,118861,5476,7.081e-05,na,,o,FO,,3874,776,2728,78,14101,21,910,62453
1586,saio,noun,1761.0,3,4609,91,583,19365,374989,0.000166,m,,,,,20541,26,15110,3,1766,325,11216,2664
1587,scambiare,verb,1761.67,3,2583,1328,1374,45040,13332,6.842899999999999e-05,na,avere,,FO,,741,8986,828,375,2749,200,1751,31291
1588,estero,noun,1762.33,3,890,2950,1447,158892,5063,6.542000000000001e-05,m,,,FO,,473,14523,309,1041,3849,133,1063,52910
1589,rosso,noun,1763.33,3,3716,895,679,26615,0,0,m,,,FO,,3957,0,4057,0,719,0,701,0
1590,vestire,verb,1765.33,3,2731,769,1796,41689,26076,5.0173e-05,na,avere,,FO,,14120,61,20209,2,1048,565,2390,21688
1591,considerazione,noun,1765.67,3,613,3260,1424,218913,4386,6.610000000000001e-05,f,,,FO,,439,15258,801,394,1498,383,2495,20534
1592,salutare,verb,1766.0,3,2381,1139,1778,50629,16302,5.1047e-05,na,avere,,FO,,2712,1452,4145,38,1258,464,4614,9531
1593,biblioteca,noun,1767.67,3,1223,2475,1605,115328,6224,5.81e-05,f,,,AU,,5149,464,8389,10,761,769,1302,43508
1594,marzo,noun,1769.0,3,247,4663,397,434336,2663,0.000234,m,,,FO,,1167,5136,1548,175,928,636,205,221584
1595,ulteriore,adjective,1770.67,3,481,3695,1136,268329,3712,8.36e-05,na,,e,FO,,545,12643,631,511,3476,151,920,61849
1596,legato,adjective,1773.0,3,1173,2638,1508,121188,5783,6.2e-05,na,,o,FO,,1291,4402,585,548,1848,312,1250,45293
1597,crimine,noun,1774.67,3,2922,800,1602,38093,25183,5.8200000000000005e-05,m,,,AU,,1332,4216,3063,63,19818,12,2686,18699
1598,dipartimento,noun,1777.33,3,2631,1257,1444,43985,14321,6.567e-05,m,,,AU,,4386,621,1942,127,4426,111,636,87875
1599,limitare,verb,1778.0,3,642,3449,1243,212425,4073,7.666300000000001e-05,na,avere,,FO,,610,11278,461,720,1939,297,1452,38588
1600,piano,adjective,1778.0,3,4766,271,297,18367,0,0,na,,o,FO,,307,0,293,0,730,0,309,0
1601,organo,noun,1780.33,3,653,3132,1556,209390,4634,5.9900000000000006e-05,m,,,FO,,1093,5530,3354,54,2917,187,1247,45354
1602,chilometro,noun,1781.0,3,1828,1552,1963,72174,11063,4.507e-05,m,,,FO,,3429,964,3678,46,6707,63,1464,38258
1603,promettere,verb,1781.33,3,1974,736,2634,65402,27526,3.1238e-05,na,avere,,FO,,3591,889,1685,159,1180,498,3646,12884
1604,blu,adjective,1782.33,3,2580,1254,1513,45170,14343,6.17e-05,na,,invariable,FO,,4045,720,5902,19,,,1540,36358
1605,leggero,adjective,1784.33,3,1486,2136,1731,92489,7363,5.262e-05,na,,o,FO,,4072,713,3698,46,3692,141,1311,43181
1606,costo,noun,1785.0,3,364,3564,1427,339359,3902,6.61e-05,m,,,FO,,553,12468,234,1279,12355,25,2788,17738
1607,economia,noun,1785.0,3,552,3762,1041,239529,3604,9.185999999999999e-05,f,,,FO,,663,10290,49,5310,3819,134,1106,50715
1608,testimone,noun,1786.67,3,2603,783,1974,44590,25491,4.4800000000000005e-05,m,,,FO,,3501,929,5400,23,1657,348,2860,17201
1609,testimone,noun,1786.67,3,2603,783,1974,44590,0,0,f,,,FO,,3501,0,5400,0,1657,0,2860,0
1610,tratto,noun,1786.67,3,1245,2340,1775,114048,6639,5.13e-05,m,,,FO,,1423,3834,3009,65,1587,363,1856,29501
1611,perfettamente,adverb,1787.0,2,,1664,1910,,10251,4.68e-05,na,,,FO,,1538,3476,3220,57,2694,204,4495,9882
1612,adulto,adjective,1787.67,3,1856,1589,1918,71221,10748,4.64e-05,na,,o,FO,,3481,939,2190,109,6086,73,2155,24652
1613,divertire,verb,1787.67,3,2079,766,2518,61356,26238,3.2886e-05,na,avere,,FO,,15686,49,13569,4,5029,94,10595,2914
1614,includere,verb,1788.67,3,1341,2654,1371,104160,5729,6.8908e-05,na,avere,,AU,,917,6867,747,428,24295,8,674,84233
1615,senatore,noun,1791.33,3,1011,2103,2260,139093,7524,3.77e-05,m,,,AU,,8286,189,2599,85,1159,507,2318,22564
1616,impiegare,verb,1792.0,3,1553,2542,1281,88096,6079,7.4165e-05,na,avere,,FO,,1246,4656,1094,274,2054,283,849,67456
1617,domani,noun,1793.67,3,4433,289,659,20504,0,0,m,,,FO,,651,0,2984,0,1778,0,9681,0
1618,valido,adjective,1796.0,3,1124,2640,1624,126620,5774,5.745e-05,na,,o,AU,,826,7794,1952,127,4170,120,1692,32785
1619,chimico,adjective,1796.33,3,1725,2188,1476,77539,7131,6.35e-05,na,,o,FO,,1734,2940,2792,75,2531,221,1482,37672
1620,godere,verb,1796.67,3,1409,2386,1595,98836,6482,5.831900000000001e-05,na,avere,,FO,,1162,5148,1728,153,944,630,2588,19607
1621,autorizzare,verb,1798.0,3,843,2366,2185,166058,6549,3.9297999999999995e-05,na,avere,,FO,,1479,3629,2643,83,5422,85,3181,15137
1622,attendere,verb,1803.67,3,1198,2323,1890,118218,6683,4.7339e-05,na,avere,,FO,,1239,4704,1994,123,992,598,3059,15918
1623,ministero,noun,1804.67,3,1273,3198,943,110816,4498,0.00010153,m,,,FO,,2668,1492,1922,129,3388,156,1178,48074
1624,riflettere,verb,1805.0,3,1441,2124,1850,96690,7428,4.8763999999999996e-05,na,avere,,FO,,937,6726,676,480,2263,252,3425,13885
1625,sospetto,noun,1805.0,3,2475,1124,1816,47699,16572,4.9749999999999996e-05,m,,,FO,,2451,1721,2772,76,724,820,2848,17296
1626,attorno,adverb,1806.5,2,,1967,1646,,8189,5.62e-05,na,,,FO,,3208,1083,2465,92,1822,315,1114,50388
1627,splendido,adjective,1807.0,3,1977,1407,2037,65265,12498,4.316000000000001e-05,na,,o,AU,,4432,608,10929,6,2261,252,6661,5733
1628,novembre,noun,1808.33,3,391,4468,566,319415,2807,0.00017,m,,,FO,,1226,4759,1335,205,1289,452,238,204330
1629,percorrere,verb,1810.0,3,2040,2280,1110,62561,6789,8.531200000000001e-05,na,avere,,AU,,1677,3075,871,359,3746,138,746,77280
1630,altezza,noun,1810.33,3,1818,1582,2031,72720,10781,4.327e-05,f,,,FO,,4717,550,4293,35,2411,233,1242,45442
1631,meraviglioso,adjective,1811.33,3,2897,877,1660,38469,22029,5.559e-05,na,,o,FO,,5414,426,8448,10,3046,178,8938,3723
1632,gioia,noun,1812.0,3,1867,1811,1758,70762,9147,5.1699999999999996e-05,f,,,FO,,4803,532,8986,8,1177,498,4686,9334
1633,caldo,noun,1812.67,3,3770,721,947,26185,0,0,m,,,FO,,5455,0,3271,0,801,0,2174,0
1634,volontà,noun,1814.67,3,937,3018,1489,149732,4908,6.31e-05,f,,,FO,,656,10420,1027,300,913,645,1884,29065
1635,familiare,noun,1817.67,3,2382,1616,1455,50600,0,0,m,,,FO,,1481,0,1213,0,5061,0,1738,0
1636,familiare,noun,1817.67,3,2382,1616,1455,50600,0,0,f,,,FO,,1481,0,1213,0,5061,0,1738,0
1637,assieme,adverb,1818.0,2,,1866,1770,,8765,5.13e-05,na,,,FO,,2065,2258,7451,12,10978,30,669,84525
1638,tramite,preposition,1818.5,2,,2933,704,,5086,0.000138,na,,,FO,,925,6788,1074,279,15661,17,594,93808
1639,fuggire,verb,1819.33,3,2373,1161,1924,50751,15907,4.615499999999999e-05,na,essere,,FO,,4399,617,3846,43,490,1143,1095,51534
1640,ospite,noun,1821.0,3,2892,1067,1504,38604,17808,6.220000000000001e-05,m,,,FO,,4624,570,5529,22,3280,163,1606,34904
1641,ospite,noun,1821.0,3,2892,1067,1504,38604,0,0,f,,,FO,,4624,0,5529,0,3280,0,1606,0
1642,decisamente,adverb,1822.5,2,,1521,2124,,11430,4.07e-05,na,,,AU,,2021,2330,1680,159,9719,36,3923,11788
1643,dipendente,adjective,1823.67,3,1771,2403,1297,75152,0,0,na,,e,FO,,1649,0,1153,0,4853,0,2090,0
1644,gatto,noun,1824.0,3,2670,1120,1682,43112,16635,5.4499999999999997e-05,m,,,FO,,7450,233,8431,10,5599,81,2927,16773
