rank,word,avg_rank,sources_count,rank_hermitdave,rank_orgtre,rank_wordfreq,count_hermitdave,count_orgtre,freq_wordfreq,rank_lip,count_lip,rank_news,count_news,rank_literature,count_literature,rank_wikipedia,count_wikipedia
62,quello,69.67,3,65,65,79,485627,1165912,0.00126,186,33399,142,1936,130,4518,137,298692
63,te,70.33,3,45,45,121,681861,1642108,0.000741,16959,104,9541,15,357,1569,3812,13569
64,mai,73.00,3,66,66,87,477108,1139740,0.00107,433,14784,341,928,105,5520,313,143192
65,perché,74.67,3,80,81,63,417508,987637,0.00151,79,72313,128,2150,643,862,250,175997
66,sia,75.67,3,83,78,66,410543,1022354,0.00148,46,120410,80,2985,109,5314,100,416233
67,chi,79.00,3,75,79,83,432988,1007279,0.0012,411,15369,401,802,96,5821,794,60019
68,prima,79.33,3,90,89,59,387026,930020,0.00155,105,52318,124,2175,82,6973,51,1038573
69,molto,81.67,3,77,83,85,430250,971458,0.00117,75,75426,90,2661,163,3703,116,352290
70,suo,81.67,3,92,93,60,381756,908139,0.00155,132,44399,98,2446,36,13075,41,1185250
71,su,85.00,3,109,107,39,340528,813431,0.0024,66,86343,65,3573,95,5835,56,799425
72,hanno,86.00,3,101,101,56,357477,853012,0.00158,65,92096,33,8382,211,2732,97,423662
73,grazie,88.67,3,74,82,110,436103,984044,0.000832,387,16488,569,559,1480,379,217,202667
74,delle,89.00,3,117,116,34,310943,749468,0.00309,20,266568,20,13307,33,15955,30,1667477
75,detto,90.33,3,61,61,149,530015,1263389,0.000575,250,25014,1043,291,180,3383,660,69995
76,sta,91.00,3,76,77,120,432121,1028792,0.000741,240,25937,136,1973,496,1101,657,70182
77,sua,91.33,3,104,103,67,354383,838152,0.00148,100,54550,114,2311,40,12697,37,1256542
78,so,93.67,3,52,51,178,576344,1392631,0.000501,930,6971,1856,153,388,1435,5156,9781
79,abbiamo,95.33,3,71,72,143,443684,1075462,0.000617,69,84665,385,822,360,1558,3904,13230
80,ancora,95.33,3,100,102,84,357766,848321,0.00117,96,58542,102,2419,142,4269,134,304434
81,ad,95.67,3,123,124,40,287858,680856,0.00229,48,116581,34,8048,35,14685,38,1236995
82,fa,96.00,3,103,104,81,356906,833184,0.00123,242,25873,216,1335,176,3432,182,230838
83,così,96.67,3,105,115,70,351367,765462,0.00138,143,41765,113,2336,51,9801,118,346761
84,due,97.00,3,113,113,65,328195,766475,0.00148,123,46969,126,2158,46,10722,44,1133268
85,uno,97.00,3,107,108,76,345353,811582,0.00132,112,49625,120,2219,98,5772,68,578279
86,va,98.00,3,63,67,164,507886,1130969,0.000537,355,17793,800,387,416,1324,540,85823
87,lui,101.00,3,85,88,130,400840,930651,0.000676,1593,3749,1497,193,68,7511,180,234441
88,loro,103.67,3,125,125,61,278369,664303,0.00151,67,85935,41,6177,42,12186,61,656219
89,dove,105.33,3,108,111,97,344643,790639,0.000933,545,12361,245,1160,159,3793,73,554950
90,nella,105.67,3,133,139,45,255595,594228,0.00209,50,115596,63,3615,38,12932,26,2034467
91,sempre,107.33,3,119,123,80,293460,682722,0.00126,179,35564,133,2017,94,5880,133,306021
92,quindi,107.67,3,114,105,104,327478,831453,0.000871,119,47352,153,1810,270,2065,128,314743
93,siamo,107.67,3,96,96,131,373550,893627,0.000676,134,44003,811,379,666,836,5529,9015
94,tuo,108.00,3,81,80,163,415427,997841,0.000537,17723,95,10434,13,422,1300,10147,4264
95,cui,108.33,3,144,134,47,242757,613423,0.00186,43,128029,47,5025,52,9729,50,1059508
96,casa,110.67,3,106,109,117,349304,799043,0.000759,1895,3022,783,395,157,3832,149,273790
97,noi,112.67,3,112,112,114,329262,775634,0.000794,104,53582,701,442,110,5271,2519,20966
98,quella,113.67,3,118,120,103,296929,703896,0.000871,241,25921,236,1207,56,9263,126,324394
99,lei,114.67,3,56,60,228,554384,1266938,0.000398,205,30574,4062,54,187,3179,368,124956
100,altro,115.67,3,120,119,108,292721,707366,0.000832,255,24803,150,1819,99,5703,194,222516
101,poi,116.00,3,134,136,78,254985,599374,0.00126,358,17644,288,1049,50,10405,76,539793
102,parte,118.00,3,147,145,62,237878,572992,0.00151,74,79464,45,5591,71,7303,53,1002201
103,sul,118.00,3,139,141,74,246230,586303,0.00135,73,80058,69,3406,129,4533,64,591220
104,dire,118.33,3,115,117,123,315462,729071,0.000724,187,33398,561,564,172,3515,1490,35224
105,sì,118.33,3,54,62,239,561011,1258183,0.00038,705,9571,1198,250,107,5395,2306,23176
106,anni,118.67,3,143,149,64,244192,554028,0.00148,129,45334,50,4693,150,3980,54,996201
107,tempo,120.33,3,132,133,96,260978,620923,0.000955,175,36612,107,2384,72,7290,124,331331
108,proprio,122.00,3,130,129,107,265256,646984,0.000851,176,36570,189,1586,284,1925,174,239632
109,quanto,122.67,3,140,135,93,244964,603313,0.001,55,103744,106,2396,97,5774,185,228648
110,allora,124.67,3,86,92,196,394873,915172,0.000437,648,10357,512,635,132,4466,312,143523
111,vita,125.67,3,137,142,98,248223,584820,0.000933,296,21440,228,1265,140,4305,129,313124
112,qualcosa,126.00,3,94,95,189,375353,896220,0.000457,908,7191,805,385,2515,225,2208,24104
113,ed,128.33,3,165,168,52,203015,460691,0.0017,80,70890,49,4740,26,21128,49,1083328
114,dopo,129.33,3,156,159,73,219627,511768,0.00135,219,28746,138,1956,80,7033,42,1177816
115,vi,129.67,3,135,138,116,253715,596315,0.000776,127,46078,528,616,57,9086,163,250569
116,dal,130.67,3,175,176,41,186438,438429,0.00214,62,95760,51,4632,41,12495,28,1845569
117,niente,131.33,3,93,100,201,376096,857010,0.000437,2013,2786,1500,192,1333,419,3998,12885
118,voglio,132.00,3,79,84,233,421594,970402,0.000389,832,7921,10502,13,730,749,11819,3510
119,quel,132.67,3,127,127,144,275369,656824,0.000617,650,10323,777,398,58,9000,394,118236
120,li,133.33,3,129,131,140,268514,639498,0.000631,1001,6438,813,377,113,5161,545,85157
121,tua,134.67,3,91,90,223,382254,925598,0.000407,20441,72,9965,14,550,1010,10600,4035
122,cose,137.33,3,138,140,134,248094,591946,0.000661,685,9878,657,479,183,3295,1587,32997
123,vero,138.33,3,110,110,195,337704,790844,0.000447,510,13020,492,657,217,2695,850,56843
124,davvero,138.67,3,99,99,218,362026,866360,0.000407,562,12021,1024,297,1717,325,4648,11002
125,lavoro,138.67,3,151,154,111,227975,526605,0.000813,78,73030,79,2994,564,992,262,167765
126,volta,143.33,3,155,153,122,224925,529015,0.000741,198,31488,212,1359,148,4082,110,365366
127,tra,145.00,3,190,188,57,165237,401008,0.00158,70,82042,48,4990,74,7149,40,1197336
128,posso,146.00,3,87,91,260,394735,922626,0.000347,421,15076,6185,30,935,600,16341,2280
