rank,word,avg_rank,sources_count,rank_hermitdave,rank_orgtre,rank_wordfreq,count_hermitdave,count_orgtre,freq_wordfreq,rank_lip,count_lip,rank_news,count_news,rank_literature,count_literature,rank_wikipedia,count_wikipedia
1911,verranno,2318.00,3,2403,2322,2229,8150,20035,4.17e-05,1397,4306,3020,84,7368,70,5220,9632
1912,it,2318.33,3,3301,2244,1410,5529,20940,6.61e-05,13818,153,912,336,7789,66,1753,30184
1913,saltare,2321.33,3,1449,1440,4075,14822,34951,2.14e-05,14912,133,10175,13,9508,52,5906,8396
1914,dita,2325.33,3,1932,1968,3076,10509,24188,2.88e-05,20683,70,12846,9,2149,262,6567,7428
1915,pizza,2327.67,3,2361,2412,2210,8306,19247,4.17e-05,36351,21,29222,2,23772,16,16473,2256
1916,ridicolo,2328.33,3,1726,1822,3437,11991,26587,2.57e-05,6336,558,11565,11,7106,73,25167,1225
1917,oggetto,2329.00,3,2951,2871,1165,6353,15594,8.13e-05,614,10930,2554,103,1940,291,931,53308
1918,lee,2329.67,3,1568,1701,3720,13427,28835,2.34e-05,33496,26,12112,10,26259,14,2025,26172
1919,trovano,2331.00,3,2936,2982,1075,6384,14884,8.91e-05,1451,4126,933,326,1290,433,712,66674
1920,vendita,2333.33,3,2801,2891,1308,6770,15425,7.24e-05,2453,2110,2175,126,5579,96,1924,27658
1921,proprietà,2333.67,3,3122,3028,851,5935,14587,0.00011,1669,3551,595,531,880,634,532,87650
1922,volto,2334.00,3,2533,2467,2002,7600,18689,4.68e-05,1757,3322,3106,80,751,725,2674,19694
1923,vedremo,2334.67,3,1847,1964,3193,11082,24202,2.82e-05,5558,682,11997,10,1173,479,49447,430
1924,vicenda,2335.00,3,2653,2475,1877,7201,18630,5.01e-05,2469,2095,4852,42,2487,227,2561,20605
1925,lupo,2338.00,3,2242,2009,2763,8865,23681,3.24e-05,17700,95,,,3744,148,4439,11523
1926,richard,2339.33,3,1564,1567,3887,13478,31519,2.24e-05,13162,167,4565,46,,2,1463,35789
1927,sveglia,2339.33,3,1684,1729,3605,12332,28349,2.45e-05,37575,20,,,12641,36,11914,3471
1928,terreno,2339.33,3,2599,2709,1710,7404,16705,5.5e-05,2541,2013,1182,254,1218,458,1197,43206
1929,meraviglioso,2341.33,3,1679,1833,3512,12368,26383,2.51e-05,11366,216,17031,5,9479,52,21570,1538
1930,nazione,2341.33,3,2664,2732,1628,7171,16573,5.75e-05,3135,1554,3046,83,644,861,2215,24002
1931,charles,2343.67,3,1759,1577,3695,11784,31411,2.34e-05,15062,131,5287,37,30547,11,1255,41495
1932,km,2344.67,3,2775,3173,1086,6850,13794,8.71e-05,6831,498,16062,6,18947,22,350,130460
1933,soldato,2344.67,3,1589,1703,3742,13163,28826,2.34e-05,10758,238,16567,6,1286,434,3948,13060
1934,castello,2348.33,3,2621,2577,1847,7309,17741,5.01e-05,20689,70,20190,4,427,1285,432,108119
1935,odore,2354.00,3,1494,1510,4058,14175,33025,2.14e-05,24483,50,16113,6,2301,245,9998,4356
1936,ordinato,2354.33,3,1998,1959,3106,10187,24246,2.88e-05,10796,236,6930,25,2514,225,2895,18152
1937,veniva,2354.67,3,2602,2750,1712,7390,16473,5.5e-05,6120,589,3673,63,543,1016,799,59971
1938,civile,2356.33,3,3152,3247,670,5867,13313,0.000138,739,9117,1000,306,817,678,751,62699
1939,vantaggio,2357.00,3,2726,2554,1791,6984,17923,5.25e-05,1074,5901,638,491,1477,379,1976,26929
1940,responsabilità,2358.33,3,2901,3108,1066,6458,14088,8.91e-05,258,24206,502,647,5437,99,2460,21581
1941,insegnato,2360.67,3,1795,1707,3580,11526,28762,2.45e-05,8829,330,6827,25,6569,80,6777,7159
1942,eventi,2361.00,3,3184,3029,870,5812,14586,0.000107,1562,3821,1359,217,3812,145,764,61674
1943,street,2362.00,3,2158,2078,2850,9307,22867,3.16e-05,19020,83,2027,136,,3,2391,22152
1944,episodi,2362.33,3,2790,2186,2111,6783,21606,4.37e-05,4987,806,4542,46,15414,28,668,69718
1945,paradiso,2362.33,3,2057,2139,2891,9888,22108,3.09e-05,14003,149,10077,13,2935,192,4899,10359
1946,emma,2362.67,3,1854,1528,3706,11059,32401,2.34e-05,23027,57,,,4007,138,4265,12023
1947,vedrai,2363.33,3,1535,1652,3903,13696,29816,2.24e-05,,5,,,7768,66,,198
1948,ascolti,2364.33,3,1497,1585,4011,14152,31258,2.14e-05,14142,146,42641,1,16872,25,9878,4427
1949,settore,2365.00,3,3113,3087,895,5952,14220,0.000105,125,46537,110,2362,31542,11,743,63383
1950,insegnante,2367.67,3,2070,2207,2826,9820,21439,3.16e-05,15906,118,9981,14,19679,20,2541,20773
1951,girare,2368.00,3,2083,2198,2823,9776,21526,3.16e-05,16737,107,9882,14,7123,73,6407,7658
1952,autobus,2368.33,3,1988,2060,3057,10237,23044,2.88e-05,4551,921,9317,15,,,4821,10556
1953,louis,2369.33,3,2421,1926,2761,8080,24672,3.24e-05,14972,132,21399,4,35000,9,1769,29965
1954,seria,2369.33,3,2084,2119,2905,9775,22338,3.09e-05,2610,1957,3436,69,5516,98,11680,3562
1955,battuta,2369.67,3,2232,2242,2635,8908,20945,3.39e-05,7453,436,5036,40,8298,61,3344,15695
1956,fidanzato,2372.00,3,1616,1639,3861,12881,30063,2.24e-05,,8,,1,14995,29,4864,10442
1957,doccia,2373.33,3,2010,2031,3079,10104,23397,2.88e-05,43938,14,27086,2,,5,23184,1385
1958,falso,2373.67,3,2307,2273,2541,8585,20521,3.55e-05,7612,421,8361,18,2544,223,5541,9000
1959,inferno,2374.00,3,1177,1136,4809,19054,46705,1.74e-05,18806,85,30684,2,5869,91,5411,9252
1960,leader,2374.67,3,2832,2736,1556,6659,16554,6.03e-05,1600,3739,185,1614,,1,1349,38724
1961,speciali,2377.33,3,2607,2688,1837,7371,16802,5.13e-05,2550,1999,2483,108,2555,221,1954,27228
1962,studi,2377.33,3,3130,3356,646,5919,12679,0.000145,1732,3393,1415,207,2038,276,362,127585
1963,compagni,2378.67,3,2488,2761,1887,7795,16358,4.9e-05,11204,221,13233,8,791,698,1996,26582
1964,furono,2378.67,3,2967,3375,794,6297,12597,0.000117,5565,681,2406,112,223,2620,107,384916
1965,pietra,2378.67,3,2499,2472,2165,7732,18644,4.27e-05,4874,833,7891,20,1601,354,982,51440
1966,ghiaccio,2379.00,3,1858,1863,3416,11028,25659,2.57e-05,18285,89,8190,19,2170,259,2462,21532
1967,schiena,2379.33,3,1762,1838,3538,11778,26209,2.51e-05,23594,54,21336,4,6224,85,7344,6472
1968,all,2379.67,3,2973,3484,682,6281,12160,0.000135,220,28567,46,5486,179,3401,36,1423276
1969,fargli,2380.33,3,1755,1677,3709,11810,29216,2.34e-05,16146,114,16610,6,2226,252,7281,6543
1970,giornali,2380.33,3,2551,2778,1812,7559,16262,5.13e-05,4763,860,5254,38,3669,151,4101,12552
1971,costretto,2381.00,3,2567,2424,2152,7518,19151,4.27e-05,4174,1036,3338,72,1669,338,1223,42385
1972,biglietti,2383.33,3,2060,2225,2865,9863,21178,3.09e-05,6798,502,10390,13,13925,32,9201,4860
1973,risorse,2384.67,3,3108,2716,1330,5960,16686,7.08e-05,291,21746,250,1145,9452,52,2354,22535
1974,chissà,2385.67,3,2436,2618,2103,8017,17402,4.37e-05,12677,177,19929,4,18265,23,42710,543
1975,morale,2386.67,3,2730,2767,1663,6977,16324,5.62e-05,2589,1970,1710,169,1199,466,2790,18800
1976,merita,2389.33,3,2380,2233,2555,8223,21078,3.55e-05,1902,3006,4590,46,2938,191,15553,2436
1977,agenzia,2395.00,3,2532,2558,2095,7601,17901,4.37e-05,1894,3025,2538,104,,,2730,19229
1978,conseguenze,2395.00,3,2855,2640,1690,6589,17209,5.5e-05,572,11820,441,734,2006,282,2646,19890
1979,testimone,2395.00,3,1385,1301,4499,15549,39480,1.91e-05,8499,352,9080,16,4758,114,5596,8903
1980,coglione,2396.33,3,1773,1852,3564,11674,25839,2.45e-05,,,,,,,,46
1981,spada,2396.33,3,1973,1832,3384,10312,26388,2.63e-05,15383,126,13903,8,699,783,2998,17470
1982,luci,2398.33,3,1928,1985,3282,10540,24004,2.69e-05,14569,139,17847,5,12201,38,5236,9610
1983,dimostrare,2398.67,3,2598,2536,2062,7404,18080,4.47e-05,1343,4564,2049,134,2559,221,4254,12072
1984,visione,2402.00,3,2941,2830,1435,6374,15911,6.61e-05,1590,3754,879,349,3182,176,1525,34314
1985,lago,2403.33,3,2481,2603,2126,7813,17497,4.37e-05,17118,102,10503,13,2102,268,768,61402
1986,sezione,2405.00,3,2962,3213,1040,6318,13513,9.12e-05,3581,1289,12026,10,7509,69,860,56295
1987,certi,2405.67,3,2894,2974,1349,6471,14935,6.92e-05,1587,3768,2648,98,775,711,4870,10437
1988,parlarne,2408.33,3,1178,1114,4933,19046,47768,1.7e-05,7680,415,15061,7,8576,59,34183,770
1989,prime,2410.00,3,3225,3208,797,5724,13528,0.000117,1779,3275,1038,292,842,662,409,114763
1990,moda,2414.33,3,2588,2879,1776,7447,15544,5.25e-05,10152,262,5153,39,3653,151,3100,16893
1991,personali,2415.67,3,2835,2824,1588,6644,15962,5.89e-05,1991,2818,1890,149,5156,105,3034,17241
1992,positivo,2417.00,3,2693,2658,1900,7079,17036,4.9e-05,579,11721,1234,242,10247,47,3732,13908
1993,scatola,2417.33,3,1569,1526,4157,13421,32437,2.09e-05,12057,193,21512,4,11015,43,7557,6233
1994,averla,2418.33,3,1587,1564,4104,13198,31588,2.09e-05,8912,325,16589,6,4657,117,6823,7098
1995,occupato,2418.67,3,1962,2005,3289,10367,23784,2.69e-05,5182,763,11566,11,2896,194,3192,16381
1996,motore,2422.00,3,2442,2663,2161,7973,17000,4.27e-05,3767,1204,2094,131,7577,68,631,73524
1997,traccia,2422.00,3,2302,2174,2790,8605,21733,3.24e-05,8383,360,7995,20,2914,193,2130,24978
1998,bianchi,2423.00,3,2512,2656,2101,7710,17068,4.37e-05,11139,223,3752,61,2205,254,1923,27661
1999,colpi,2423.67,3,2255,2375,2641,8801,19511,3.39e-05,9472,296,6539,27,1313,425,2791,18798
2000,colonnello,2425.67,3,1561,1797,3919,13506,26944,2.19e-05,18103,91,26151,2,1813,309,2109,25194
2001,montagna,2426.67,3,2509,2694,2077,7718,16785,4.47e-05,5666,663,7957,20,1933,292,1670,31583
2002,mr,2432.00,3,2067,1260,3969,9829,40945,2.19e-05,31431,29,28900,2,,3,3616,14444
2003,sbagliata,2433.33,3,1812,1750,3738,11399,27933,2.34e-05,4237,1019,2820,91,21041,19,18574,1903
2004,prodotto,2433.67,3,3272,3313,716,5608,12980,0.000129,979,6617,929,328,2554,221,375,122836
2005,park,2434.00,3,2268,2264,2770,8725,20625,3.24e-05,41982,15,8644,17,,,1815,29206
2006,punta,2434.00,3,2702,2772,1828,7054,16292,5.13e-05,4240,1019,2672,97,1535,367,1738,30494
2007,offerto,2434.67,3,2147,2052,3105,9378,23136,2.88e-05,2714,1884,3396,70,7551,68,5500,9062
2008,sparare,2436.00,3,1608,1617,4083,12933,30507,2.14e-05,18017,92,17674,5,16707,25,7409,6401
2009,venduto,2438.00,3,2017,2103,3194,10092,22532,2.82e-05,11230,220,6575,27,7986,64,2406,22034
2010,dito,2440.67,3,2108,2137,3077,9617,22135,2.88e-05,7714,412,7604,21,1985,285,9656,4559
2011,assurdo,2441.67,3,2066,1997,3262,9832,23899,2.69e-05,4253,1014,7707,21,9253,54,23371,1368
2012,opportunità,2441.67,3,2823,2873,1629,6684,15589,5.75e-05,522,12823,310,992,9162,54,3395,15475
2013,assistente,2442.67,3,1721,1697,3910,12015,28909,2.19e-05,15974,117,15255,7,26360,14,2292,23285
2014,seguendo,2443.33,3,2513,2390,2427,7697,19411,3.8e-05,3685,1239,5067,40,3163,178,2569,20544
2015,significato,2443.33,3,3023,2975,1332,6150,14935,7.08e-05,1907,2996,2759,93,1896,298,1733,30660
2016,mondiale,2444.00,3,3167,3432,733,5843,12364,0.000126,405,15651,115,2285,29075,12,232,188806
2017,talento,2449.00,3,2072,2151,3124,9804,21968,2.88e-05,10952,230,3265,74,5154,105,4346,11779
2018,permette,2452.33,3,2883,3111,1363,6515,14066,6.92e-05,2261,2395,2996,85,6168,86,1290,40489
2019,weekend,2452.33,3,2320,2514,2523,8488,18270,3.63e-05,,10,19841,4,,,9608,4589
2020,criminale,2452.67,3,2201,2090,3067,9110,22720,2.88e-05,4940,819,12184,10,8354,61,4023,12822
2021,pensieri,2455.33,3,2543,2615,2208,7586,17431,4.17e-05,11419,214,9962,14,1028,541,8504,5375
2022,artista,2455.67,3,2668,2784,1915,7163,16240,4.79e-05,22247,60,43438,1,5218,104,891,54816
2023,pesante,2458.33,3,2266,2337,2772,8736,19911,3.24e-05,4464,950,2785,92,5713,93,2748,19114
2024,marina,2460.00,3,2554,2751,2075,7548,16470,4.47e-05,7888,397,7340,22,3061,184,870,56011
2025,dirò,2462.33,3,1526,1590,4271,13884,31104,2e-05,5949,616,,,1495,376,,232
2026,band,2464.00,3,2665,2674,2053,7169,16908,4.47e-05,,,28465,2,,3,478,98349
2027,sport,2464.00,3,2957,3363,1072,6334,12661,8.91e-05,1875,3064,7558,21,29076,12,1065,47440
2028,colleghi,2465.67,3,2627,2621,2149,7290,17381,4.27e-05,136,43570,2067,133,4625,117,3778,13721
2029,fidanzata,2465.67,3,1917,1988,3492,10631,23974,2.51e-05,48136,11,,,13627,33,4352,11758
2030,trattato,2465.67,3,2893,2935,1569,6473,15171,6.03e-05,188,33217,917,332,824,674,957,52324
2031,centinaia,2467.00,3,2575,2551,2275,7483,17928,3.98e-05,2160,2548,1452,200,4492,121,3219,16264
2032,avrò,2467.33,3,1856,1929,3617,11036,24654,2.4e-05,9302,304,,,3664,151,,231
2033,egli,2471.33,3,2919,3410,1085,6416,12482,8.71e-05,1198,5195,1605,178,60,8690,332,137187
2034,mettendo,2471.67,3,2400,2298,2717,8163,20248,3.31e-05,3234,1483,1566,182,4756,114,3733,13892
2035,organizzato,2473.00,3,2624,2589,2206,7302,17622,4.17e-05,2819,1794,4635,45,33969,9,1995,26584
2036,permettere,2474.00,3,2538,2470,2414,7598,18674,3.8e-05,1269,4865,2035,136,5810,92,3337,15736
2037,testimoni,2474.67,3,2048,1924,3452,9942,24689,2.57e-05,6210,577,14587,7,2418,234,5972,8298
2038,lady,2476.33,3,2202,1807,3420,9108,26833,2.57e-05,25239,47,20383,4,1769,317,3160,16546
2039,commesso,2477.67,3,2211,2079,3143,9078,22863,2.82e-05,3702,1229,6152,30,2976,189,6746,7196
2040,scienza,2477.67,3,2846,2755,1832,6622,16445,5.13e-05,3172,1525,1421,207,702,780,2570,20533
2041,entrate,2478.00,3,2209,2290,2935,9081,20330,3.02e-05,2895,1725,890,343,3065,184,5742,8645
2042,fortunato,2479.67,3,1477,1517,4445,14422,32645,1.91e-05,20463,72,13451,8,5909,90,8634,5268
2043,tratti,2483.33,3,2838,2774,1838,6639,16280,5.13e-05,1560,3834,3604,65,1557,363,1793,29501
2044,uova,2483.67,3,2278,2381,2792,8693,19473,3.24e-05,8571,348,14260,7,1206,464,3500,14933
2045,ambiente,2485.00,3,3008,3137,1310,6190,13930,7.08e-05,769,8664,728,423,5440,99,971,51817
2046,coinvolto,2486.00,3,2077,1982,3399,9786,24042,2.57e-05,3620,1271,5324,37,,1,2762,19034
2047,allarme,2489.33,3,2094,2046,3328,9696,23197,2.63e-05,5039,794,3240,75,30383,11,8781,5156
2048,chiavi,2489.67,3,1443,1493,4533,14885,33452,1.86e-05,15614,122,14321,7,6892,76,7364,6453
2049,progetti,2490.33,3,3268,3269,934,5634,13210,0.0001,506,13085,621,506,6859,76,1465,35771
2050,incinta,2494.33,3,1234,1241,5008,18007,41888,1.66e-05,29434,34,24909,3,44887,6,5660,8787
2051,assunto,2498.00,3,2518,2344,2632,7669,19792,3.39e-05,1716,3459,2826,91,3936,140,2181,24458
2052,passione,2504.00,3,2856,3024,1632,6584,14606,5.75e-05,8459,355,9704,14,1320,423,2427,21874
2053,tavola,2505.00,3,2557,2596,2362,7538,17567,3.89e-05,7663,417,12858,9,709,773,3259,16109
2054,tramite,2505.33,3,3529,3306,681,5086,13049,0.000138,954,6788,1077,279,22104,17,493,93808
2055,copia,2510.33,3,2563,2522,2446,7531,18208,3.72e-05,7538,427,23247,3,911,616,3406,15436
2056,principessa,2510.33,3,1822,1899,3810,11269,25006,2.29e-05,34697,24,,,727,750,2225,23916
2057,onda,2513.00,3,2739,2866,1934,6953,15611,4.79e-05,19019,83,7297,23,10574,46,844,57091
2058,confronti,2513.33,3,3387,3163,990,5340,13820,9.33e-05,360,17592,500,650,6069,88,1015,49481
2059,organizzazione,2513.33,3,3147,3031,1362,5879,14581,6.92e-05,1391,4331,782,396,7713,67,686,68299
2060,distruggere,2515.33,3,2111,1868,3567,9561,25521,2.45e-05,4686,883,3359,71,4761,114,3833,13492
2061,lezioni,2518.67,3,2659,2825,2072,7181,15942,4.47e-05,4722,874,1756,163,4012,137,3636,14288
2062,will,2519.67,3,1483,1211,4865,14285,43244,1.74e-05,31232,30,4999,41,,2,4340,11799
2063,rotta,2521.00,3,1999,2033,3531,10179,23362,2.51e-05,5253,743,2268,120,2339,241,3480,15046
2064,giornalista,2522.67,3,2841,3070,1657,6628,14347,5.62e-05,6050,598,6844,25,16547,26,2002,26504
2065,sarah,2523.67,3,1208,1230,5133,18618,42417,1.62e-05,28158,37,27208,2,,1,4586,11189
2066,epoca,2524.33,3,2652,2721,2200,7204,16646,4.17e-05,3661,1253,1487,194,3307,170,286,155431
2067,messi,2524.67,3,2829,2816,1929,6662,16000,4.79e-05,2478,2086,2779,93,2297,245,4450,11503
2068,soccorso,2526.00,3,2545,2605,2428,7574,17478,3.8e-05,6279,565,5430,36,1464,384,3237,16196
2069,cresciuto,2527.67,3,2215,2221,3147,9017,21240,2.82e-05,10355,253,2407,112,6629,79,2066,25642
2070,miss,2528.67,3,1704,1916,3966,12140,24774,2.19e-05,40933,16,,,2191,256,2770,18989
2071,padrone,2529.33,3,2097,2201,3290,9684,21484,2.69e-05,17263,100,20952,4,762,719,5634,8835
2072,liberi,2529.67,3,2639,2699,2251,7245,16753,4.07e-05,4128,1056,3433,69,1830,306,4848,10484
2073,scala,2530.00,3,2843,3000,1747,6627,14757,5.37e-05,1833,3163,716,429,1503,374,1300,40135
2074,sig,2530.00,3,2221,1477,3892,8992,33913,2.24e-05,11712,205,43853,1,927,605,16346,2279
2075,costruito,2530.33,3,2514,2380,2697,7679,19479,3.31e-05,6599,525,4097,54,15680,28,888,54986
2076,abbandonato,2531.33,3,2392,2294,2908,8203,20315,3.02e-05,6504,538,3582,65,2532,223,2527,20877
2077,considerato,2534.00,3,3255,3172,1175,5664,13801,7.94e-05,1486,4020,1112,269,4922,110,672,69259
2078,accaduto,2534.33,3,2176,2231,3196,9213,21125,2.75e-05,2140,2573,2379,115,3192,176,3753,13815
2079,tenente,2534.67,3,1191,1262,5151,18874,40887,1.62e-05,,8,,,7101,73,2251,23642
2080,camminare,2535.00,3,1876,1963,3766,10914,24204,2.29e-05,14296,144,11987,10,5447,99,11782,3523
2081,arrivi,2537.00,3,2238,2234,3139,8884,21068,2.82e-05,7291,450,6031,31,10620,45,14273,2736
2082,bob,2538.00,3,1485,1601,4528,14265,30872,1.86e-05,27451,40,15861,6,,,2285,23411
2083,territorio,2539.33,3,3489,3482,647,5154,12164,0.000145,952,6805,1958,142,1138,493,238,183016
2084,reazione,2540.00,3,2945,2895,1780,6367,15415,5.25e-05,2250,2403,1815,157,3102,182,1927,27589
2085,coscienza,2540.33,3,2862,2909,1850,6569,15313,5.01e-05,2421,2154,7601,21,913,612,4121,12482
2086,impegno,2541.33,3,2981,2984,1659,6256,14880,5.62e-05,484,13515,537,597,8506,59,2493,21234
2087,amiche,2543.00,3,2082,1993,3554,9778,23954,2.45e-05,30354,32,29681,2,6163,86,7361,6454
2088,ragazzino,2546.00,3,1440,1371,4827,14919,37018,1.74e-05,36266,21,22153,3,,1,10411,4120
2089,vedete,2546.67,3,1549,1584,4507,13605,31281,1.91e-05,11641,207,47770,1,2053,275,,129
2090,sorta,2547.00,3,2924,2968,1749,6412,14963,5.37e-05,1939,2927,2592,101,1664,339,1760,30097
2091,manda,2547.33,3,2138,2142,3362,9433,22072,2.63e-05,18971,83,31277,2,2470,229,7476,6319
2092,concerto,2549.00,3,2784,2945,1918,6821,15111,4.79e-05,5126,774,12589,9,10493,46,1390,37566
2093,nata,2549.67,3,2943,2884,1822,6371,15498,5.13e-05,7729,411,7425,22,2784,202,1250,41635
2094,governatore,2551.00,3,2581,2318,2754,7468,20057,3.24e-05,9470,296,2386,114,1170,480,1425,36768
2095,gloria,2552.67,3,2270,2300,3088,8720,20241,2.88e-05,21715,63,13131,9,816,679,3841,13463
2096,laura,2553.33,3,2218,2560,2882,8997,17884,3.09e-05,30674,31,23940,3,27427,13,3376,15573
2097,neri,2553.33,3,2569,2838,2253,7506,15881,4.07e-05,14300,144,9961,14,2595,218,2544,20761
2098,piatto,2553.33,3,2456,2598,2606,7928,17554,3.47e-05,13683,156,10501,13,1637,345,4683,10921
2099,stronzate,2553.33,3,1390,1418,4852,15453,35855,1.74e-05,,,,,,,,37
2100,volevano,2554.67,3,2157,2180,3327,9313,21658,2.69e-05,7286,450,5503,35,2827,198,7457,6346
2101,scuse,2555.33,3,1883,1790,3993,10873,27172,2.19e-05,6239,572,12472,9,8747,57,18075,1977
2102,oggetti,2557.00,3,3025,2980,1666,6146,14893,5.62e-05,9685,286,7082,24,1570,360,1227,42230
2103,povera,2557.33,3,2190,2372,3110,9131,19530,2.88e-05,9482,296,6429,28,1008,556,8932,5043
2104,capita,2559.67,3,2383,2376,2920,8220,19489,3.02e-05,9216,308,9565,15,12432,37,19761,1751
2105,walter,2559.67,3,1849,1582,4248,11076,31296,2.04e-05,15467,124,11436,11,2758,204,2654,19839
2106,canzoni,2566.00,3,3012,2969,1717,6185,14962,5.37e-05,34542,24,30875,2,11842,39,947,52703
2107,sicuri,2566.67,3,2323,2255,3122,8479,20735,2.88e-05,2416,2158,2025,136,3528,157,14683,2631
2108,pensiamo,2567.67,3,1853,1788,4062,11062,27217,2.14e-05,2542,2009,5149,39,10829,44,,369
2109,angeles,2570.67,3,1760,1774,4178,11783,27396,2.04e-05,47401,11,9729,14,,1,1443,36254
2110,cavalli,2572.67,3,2121,2262,3335,9520,20669,2.63e-05,12888,173,10664,12,524,1050,2677,19690
2111,cerchiamo,2574.33,3,1771,1767,4185,11679,27482,2.04e-05,3149,1541,8714,17,11703,40,,206
2112,pensione,2574.33,3,2562,2749,2412,7532,16478,3.8e-05,3368,1406,2166,126,8410,60,5716,8680
2113,sospetto,2575.33,3,2193,2150,3383,9128,21985,2.63e-05,4797,854,4103,54,1080,518,8177,5639
2114,spiega,2578.67,3,3124,3079,1533,5930,14280,6.17e-05,5390,719,2402,113,3245,173,2981,17584
2115,trovate,2578.67,3,2331,2275,3130,8443,20507,2.88e-05,10563,245,10388,13,3592,154,8258,5579
2116,universo,2580.00,3,2034,2027,3679,9989,23454,2.4e-05,26672,42,12231,10,9696,51,2191,24343
2117,terapia,2580.33,3,2274,2284,3183,8705,20428,2.82e-05,9009,319,4279,51,,1,3953,13048
2118,giudizio,2581.00,3,2985,2903,1855,6249,15354,5.01e-05,1532,3897,3049,83,888,629,2851,18420
2119,vendetta,2581.33,3,2109,1885,3750,9591,25145,2.34e-05,13605,157,18318,5,1037,538,3809,13583
2120,documento,2582.00,3,3097,3162,1487,5988,13826,6.31e-05,656,10243,2814,91,2275,247,1698,31184
2121,polvere,2583.33,3,2310,2276,3164,8566,20501,2.82e-05,11856,200,14858,7,1862,303,5267,9540
2122,preparato,2586.67,3,2105,2131,3524,9633,22177,2.51e-05,4122,1059,8117,19,4216,130,7102,6732
2123,prestito,2593.00,3,2433,2571,2775,8018,17770,3.24e-05,5891,625,1189,251,6153,86,1528,34239
2124,americana,2593.33,3,2796,2936,2048,6778,15164,4.47e-05,3529,1316,455,714,12268,38,1534,34128
2125,vedono,2596.67,3,2760,2889,2141,6889,15457,4.37e-05,4217,1024,3026,83,4187,131,4573,11221
2126,neppure,2597.33,3,2415,2820,2557,8107,15980,3.55e-05,1383,4350,2246,121,1801,311,7242,6590
2127,uguale,2597.33,3,2680,2845,2267,7112,15786,4.07e-05,5535,686,5803,33,3094,183,3329,15797
2128,fumo,2599.33,3,2295,2496,3007,8627,18473,2.95e-05,3931,1136,4843,42,3166,178,7503,6290
2129,cittadini,2602.67,3,3521,3581,706,5106,11766,0.000129,98,57752,313,987,559,996,1374,37966
2130,figura,2602.67,3,3244,3351,1213,5677,12698,7.76e-05,3085,1585,3463,68,1493,376,843,57091
2131,venite,2602.67,3,834,990,5984,28262,55184,1.35e-05,23956,52,,,4810,113,,244
2132,grossa,2603.00,3,2080,2089,3640,9779,22729,2.4e-05,9576,291,9658,14,1479,379,6195,7961
2133,jim,2603.00,3,1395,1309,5105,15377,39214,1.62e-05,31944,28,8239,19,,,3106,16880
2134,pioggia,2603.33,3,2492,2756,2562,7785,16401,3.55e-05,14329,143,16130,6,2665,211,4862,10451
2135,gusto,2604.33,3,2870,2973,1970,6557,14950,4.68e-05,10474,248,,1,1185,473,4072,12635
2136,perdono,2604.33,3,2348,2358,3107,8362,19678,2.88e-05,6692,514,3601,65,1780,315,5459,9176
2137,relazioni,2604.33,3,3180,3210,1423,5816,13523,6.61e-05,283,22583,1061,285,1447,386,1675,31501
2138,disastro,2606.00,3,2277,2327,3214,8697,19984,2.75e-05,2771,1833,1899,148,9387,53,5928,8367
2139,personaggio,2606.67,3,2988,3199,1633,6242,13614,5.75e-05,18031,92,7539,21,3221,175,552,84294
2140,appartiene,2608.67,3,2577,2562,2687,7474,17864,3.31e-05,5049,791,6544,27,4433,123,1838,28759
2141,sopravvivere,2609.00,3,2230,1927,3670,8940,24671,2.4e-05,5294,736,2547,104,21726,18,6000,8255
2142,precedente,2609.67,3,3469,3451,909,5198,12295,0.000102,1047,6061,1123,267,1266,441,474,99852
2143,bloccato,2611.33,3,2416,2436,2982,8103,19078,2.95e-05,6823,499,4686,44,,2,8591,5303
2144,virus,2612.33,3,2463,2179,3195,7901,21671,2.82e-05,5416,714,1315,225,,1,3575,14608
2145,probabile,2613.00,3,2771,2602,2466,6860,17497,3.72e-05,3833,1178,747,414,2143,263,3079,17024
2146,torni,2613.67,3,1410,1460,4971,15277,34450,1.7e-05,12277,188,12434,9,6067,88,33399,797
2147,rischi,2615.33,3,2854,2771,2221,6593,16299,4.17e-05,919,7043,300,1023,8588,59,7001,6855
2148,controlla,2617.33,3,1939,1892,4021,10476,25062,2.14e-05,9296,304,7837,20,,,7596,6186
2149,unita,2618.67,3,2204,2043,3609,9103,23221,2.45e-05,3229,1487,4811,43,5843,91,4910,10337
2150,nascita,2619.00,3,3061,3132,1664,6077,13949,5.62e-05,4353,983,2958,86,3549,156,909,54396
2151,resistenza,2620.33,3,3199,3069,1593,5783,14350,5.89e-05,3373,1402,963,319,2259,248,1202,43003
2152,passando,2624.00,3,2648,2559,2665,7212,17900,3.39e-05,4052,1089,2562,103,2332,241,2291,23299
2153,contare,2624.33,3,2431,2450,2992,8023,18904,2.95e-05,2092,2652,2768,93,4789,113,6253,7874
2154,funzionare,2626.67,3,2113,1983,3784,9557,24028,2.29e-05,2474,2093,1468,199,21248,18,8304,5534
2155,preparare,2627.33,3,2283,2305,3294,8668,20199,2.69e-05,2519,2036,4577,46,5072,107,6370,7716
2156,chris,2628.33,3,1694,1764,4427,12245,27560,1.91e-05,16063,116,16466,6,,,2702,19438
