rank	token	lemma_guess	count	cum_count	cum_pct_missing	cum_pct_corpus	category	english_gloss
3163	tirala	tirala	688	10211597	72.9598	4.2272	tokeniser_fixable	
3164	vivra	vivra	688	10212285	72.9648	4.2275	residual	
3165	charlene	charlene	687	10212972	72.9697	4.2278	proper_noun	
3166	jillian	jillian	687	10213659	72.9746	4.2280	proper_noun	
3167	parrish	parrish	687	10214346	72.9795	4.2283	residual	Parrish
3168	sottotitolati	sottotitolati	687	10215033	72.9844	4.2286	residual	
3169	trasferirci	trasferirci	687	10215720	72.9893	4.2289	tokeniser_fixable	
3170	lulu	lulu	686	10216406	72.9942	4.2292	proper_noun	
3171	mettergli	mettergli	686	10217092	72.9991	4.2295	tokeniser_fixable	
3172	bjorn	bjorn	685	10217777	73.0040	4.2297	proper_noun	
3173	discorsetto	discorsetto	685	10218462	73.0089	4.2300	residual	a reproach or telling-off
3174	entrera	entrera	685	10219147	73.0138	4.2303	residual	
3175	ltalia	ltalia	685	10219832	73.0187	4.2306	residual	
3176	tagliarti	tagliarti	685	10220517	73.0236	4.2309	tokeniser_fixable	
3177	glutine	glutine	684	10221201	73.0285	4.2312	residual	gluten
3178	servirmi	servirmi	684	10221885	73.0333	4.2314	tokeniser_fixable	
3179	singapore	singapore	684	10222569	73.0382	4.2317	residual	Singapore
3180	avro'	avro'	683	10223252	73.0431	4.2320	residual	
3181	ditemelo	ditemelo	683	10223935	73.0480	4.2323	residual	
3182	procurarti	procurarti	683	10224618	73.0529	4.2326	tokeniser_fixable	
3183	rivera	rivera	683	10225301	73.0578	4.2329	residual	
3184	sud-est	sud-est	683	10225984	73.0626	4.2331	residual	
3185	tizia	tizia	683	10226667	73.0675	4.2334	residual	woman, girl
3186	kelsey	kelsey	682	10227349	73.0724	4.2337	proper_noun	
3187	avvisarti	avvisarti	681	10228030	73.0772	4.2340	tokeniser_fixable	
3188	cullen	cullen	681	10228711	73.0821	4.2343	foreign_word	
3189	dimitri	dimitri	681	10229392	73.0870	4.2345	proper_noun	a male given name, a surname
3190	barcellona	barcellona	680	10230072	73.0918	4.2348	residual	Barcelona
3191	cuddy	cuddy	680	10230752	73.0967	4.2351	foreign_word	
3192	lassie	lassie	680	10231432	73.1016	4.2354	foreign_word	
3193	liu	liu	680	10232112	73.1064	4.2357	residual	
3194	lucien	lucien	680	10232792	73.1113	4.2360	proper_noun	
3195	occupartene	occupartene	680	10233472	73.1161	4.2362	tokeniser_fixable	
3196	proctor	proctor	680	10234152	73.1210	4.2365	foreign_word	
3197	salvarvi	salvarvi	680	10234832	73.1258	4.2368	tokeniser_fixable	
3198	spostarlo	spostarlo	680	10235512	73.1307	4.2371	tokeniser_fixable	
3199	civilta	civilta	679	10236191	73.1356	4.2374	tokeniser_fixable	
3200	destiny	destiny	679	10236870	73.1404	4.2376	foreign_word	
3201	esposito	esposito	679	10237549	73.1453	4.2379	residual	a common surname, foundling
3202	falcon	falcon	679	10238228	73.1501	4.2382	foreign_word	
3203	phaser	phaser	679	10238907	73.1550	4.2385	residual	
3204	scofield	scofield	679	10239586	73.1598	4.2388	residual	
3205	upper	upper	679	10240265	73.1647	4.2390	foreign_word	
3206	cesar	cesar	678	10240943	73.1695	4.2393	proper_noun	
